x=1145.9852294921875, y=751.952880859375, probability=0.9930379986763
x=1147.3634033203125, y=750.9435424804688, probability=0.9930283427238464
x=1147.4886474609375, y=751.0582275390625, probability=0.9930140376091003
x=1149.0810546875, y=742.8870849609375, probability=0.993540346622467
x=1154.41845703125, y=735.5626831054688, probability=0.992673933506012
x=1155.1588134765625, y=720.2034912109375, probability=0.9923319816589355
x=1157.7913818359375, y=713.2528076171875, probability=0.9922252893447876
x=1161.8753662109375, y=702.7000732421875, probability=0.9915639162063599
x=1164.2576904296875, y=693.6343383789062, probability=0.9915305376052856
x=1165.2574462890625, y=685.0369873046875, probability=0.9915511608123779
x=1164.09912109375, y=675.687744140625, probability=0.9919982552528381
x=1162.496337890625, y=665.153564453125, probability=0.9918698072433472
x=1155.79833984375, y=650.5931396484375, probability=0.9938481450080872
x=1142.1597900390625, y=639.5498657226562, probability=0.994057297706604
x=1130.6788330078125, y=630.14794921875, probability=0.9945729374885559
x=1118.8856201171875, y=621.7288208007812, probability=0.9939397573471069
x=1111.2938232421875, y=615.6433715820312, probability=0.9938840270042419
x=1096.71826171875, y=605.7503662109375, probability=0.9937425255775452
x=1081.269287109375, y=599.4741821289062, probability=0.9938639402389526
x=1069.40283203125, y=592.1639404296875, probability=0.9933934807777405
x=1050.2427978515625, y=589.3837890625, probability=0.9930123686790466
x=1035.376953125, y=588.40771484375, probability=0.9929550290107727
x=1029.8985595703125, y=587.713134765625, probability=0.9937189817428589
x=1015.533203125, y=589.2918701171875, probability=0.9937141537666321
x=994.7080688476562, y=589.6876831054688, probability=0.99333655834198
x=977.8591918945312, y=599.3218383789062, probability=0.9933392405509949
x=969.6016845703125, y=599.560791015625, probability=0.9930976033210754
x=957.065185546875, y=604.9660034179688, probability=0.993850588798523
x=944.7188110351562, y=609.59716796875, probability=0.9928404092788696
x=936.4451904296875, y=614.98974609375, probability=0.9921971559524536
x=931.8684692382812, y=619.7006225585938, probability=0.992065966129303
x=926.43701171875, y=624.3328857421875, probability=0.9920390844345093
x=922.9777221679688, y=630.9998779296875, probability=0.9896719455718994
x=914.0319213867188, y=634.5738525390625, probability=0.9901954531669617
x=908.5294799804688, y=638.79736328125, probability=0.9880535006523132
x=903.3895263671875, y=647.9108276367188, probability=0.9885112047195435
x=900.4862060546875, y=652.6475219726562, probability=0.9916029572486877
x=893.0057983398438, y=658.5020751953125, probability=0.9911064505577087
x=891.979248046875, y=663.703857421875, probability=0.991583526134491
x=884.7047119140625, y=672.1788940429688, probability=0.9919198751449585
x=881.2528076171875, y=680.7070922851562, probability=0.9919058084487915
x=876.847412109375, y=689.236083984375, probability=0.9928568601608276
x=877.1277465820312, y=695.68505859375, probability=0.9932411909103394
x=873.760498046875, y=704.3235473632812, probability=0.9932568073272705
x=872.8494873046875, y=710.7793579101562, probability=0.9932489395141602
x=870.066650390625, y=715.8119506835938, probability=0.9936364889144897
x=869.2127075195312, y=722.4939575195312, probability=0.993924081325531
x=870.8296508789062, y=727.912841796875, probability=0.9937166571617126
x=874.2727661132812, y=732.1907958984375, probability=0.9940968751907349
x=873.0243530273438, y=738.4513549804688, probability=0.9939212799072266
x=869.052978515625, y=740.0416259765625, probability=0.9927954077720642
x=869.3754272460938, y=742.3984375, probability=0.9937646389007568
x=868.7245483398438, y=743.0916137695312, probability=0.9941838383674622
x=871.5996704101562, y=745.9885864257812, probability=0.9945184588432312
x=873.295166015625, y=747.1181030273438, probability=0.9945394396781921
